Benthic_abb;Benthic category;Benthic attribute_MERMAID;Growth form_MERMAID
aca;Acanthastrea;Acanthastrea;
acr;Acropora;Acropora;
aga;Agaricia;Agaricia;
alv;Alveopora;Alveopora;
Anem;Anemone;Anemone;
ano;Anomastraea;Anomastraea;
Ascd;Ascidian;Ascidian;
ast;Astreopora;Astreopora;
BHC;Branching Hard Coral;Hard coral;Branching
BS;Bare substrate;Bare substrate;
bla;Blastomussa;Blastomussa;
cau;Caulastraea;Caulastraea;
cla;Cladiella;Cladiella;
coe;Coeloseris;Coeloseris;
Cmorph;Corallimorpharia;Corallimorpharia;
cos;Coscinaraea;Coscinaraea;
ACOR;Crustose coralline algae;Crustose coralline algae;
cte;Ctenactis;Ctenactis;
cyn;Cynarina;Cynarina;
cyp;Cyphastrea;Cyphastrea;
DC;Dead coral;Dead coral;
DHC;Digitate Hard Coral;Hard coral;Digitate
EHC;Encrusting Hard Coral;Hard coral;Encrusting
RDC;Dead coral;Dead coral;
den;Dendronepthea;Dendronepthea;
dia;Diaseris;Diaseris;
dip;Diploastrea;Diploastrea;
dps;Dipsastraea;Dipsastraea;
eph;Echinophyllia;Echinophyllia;
epo;Echinopora;Echinopora;
eup;Euphyllia;Euphyllia;
fav;Favia;Favia;
fts;Favites;Favites;
fun;Fungia;Fungia;
gal;Galaxea;Galaxea;
gar;Gardineroseris;Gardineroseris;
gon;Goniastrea;Goniastrea;
gop;Goniopora;Goniopora;
Gorg;Gorgonian;Gorgonian;
gyr;Gyrosmilia;Gyrosmilia;
AHAL;Halimeda;Halimeda;
hal;Halomitra;Halomitra;
HC;Hard coral;Hard coral;
hel;Heliopora;Heliopora;
her;Herpolitha;Herpolitha;
hor;Horastrea;Horastrea;
hyd;Hydnophora;Hydnophora;
Hydr;Hydroid;Hydroid;
iso;Isopora;Isopora;
lep;Leptastrea;Leptastrea;
leo;Leptoria;Leptoria;
les;Leptoseris;Leptoseris;
loc;Lobactis;Lobactis;
lob;Lobophyllia;Lobophyllia;
Lbp;Lobophytum;Lobophytum;
AMAC;Macroalgae;Macroalgae;
mad;Madracis;Madracis;
mer;Merulina;Merulina;
mic;Micromussa;Micromussa;
mil;Millepora;Millepora;
Moll;Other invertebrates;Other invertebrates;
mon;Montastraea;Montastraea;
mtp;Montipora;Montipora;
myc;Mycedium;Mycedium;
nep;Nephthea;Nepthea;
OBS;Obscured;Obscured;
OT;Other;Other;
INV;Other invertebrates;Other invertebrates;
ous;Oulastrea;Oulastrea;
oul;Oulophyllia;Oulophyllia;
oxy;Oxypora;Oxypora;
pac;Pachyseris;Pachyseris;
paa;Paragoniastrea;Paragoniastrea;
par;Paramontastraea;Paramontastraea;
pav;Pavona;Pavona;
pec;Pectinia;Pectinia;
phy;Physogyra;Physogyra;
pla;Platygyra;Platygyra;
plg;Plerogyra;Plerogyra;
pls;Plesiastrea;Plesiastrea;
poc;Pocillopora;Pocillopora;
pod;Podabacia;Podabacia;
pol;Polyphyllia;Polyphyllia;
por;Porites;Porites;
porB;Porites Branching;Porites;Branching
porM;Porites Massive;Porites;Massive
psa;Psammocora;Psammocora;
pse;Pseudosiderastrea;Pseudosiderastrea;
RCK;Rock;Rock;
RUB;Rubble;Rubble;
SND;Sand;Sand;
san;Sandalolitha;Sandalolitha;
Sar;Sarcophyton;Sarcophyton;
sco;Scolymia;Scolymia;
SGR;Seagrass;Seagrass;
ser;Seriatopora;Seriatopora;
sid;Siderastrea;Siderastrea;
SIL;Silt;Silt;
Sin;Sinularia;Sinularia;
SC;Soft coral;Soft coral;
Spog;Sponge;Sponge;
ste;Stereonephthya;Stereonephthya;
stc;Stylocoeniella;Stylocoeniella;
sty;Stylophora;Stylophora;
sym;Symphyllia;Symphyllia;
TWS;Tape;Tape;
tra;Trachyphyllia;Trachyphyllia;
tub;Tubastraea;Tubastraea;
tup;Tubipora;Tubipora;
tur;Turbinaria-coral;Turbinaria-coral;
ATRF;Turf algae;Turf algae;
UNID;Unknown;Unknown;
UNK;Unknown;Unknown;
xen;Xenia;Xenia;
Zooa;Zoanthid;Zoanthid;
