Site *,Management *,Sample date: Year *,Sample date: Month *,Sample date: Day *,Depth *,Transect number *,Transect length surveyed *,Number of quadrats *,Quadrat size *,Number of points per quadrat *,Observer emails *,Quadrat *,Benthic attribute *,Growth form,Number of points *
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,1,Crustose coralline algae,NA,3
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,1,Soft coral,NA,3
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,1,Sand,NA,11
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,1,Acropora,NA,7
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,1,Porites,Branching,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,2,Macroalgae,NA,6
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,2,Other invertebrates,NA,6
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,2,Seagrass,NA,6
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,2,Porites,Branching,3
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,2,Porites,Massive,4
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,3,Crustose coralline algae,NA,9
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,3,Seagrass,NA,4
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,3,Sand,NA,4
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,3,Porites,Massive,8
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,4,Seagrass,NA,14
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,4,Sand,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,4,Sponge,NA,4
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,4,Zoanthid,NA,5
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,4,Porites,Massive,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,5,Seagrass,NA,25
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,6,Macroalgae,NA,3
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,6,Turf algae,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,6,Soft coral,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,6,Seagrass,NA,8
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,6,Sand,NA,4
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,6,Acropora,NA,4
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,6,Porites,Massive,4
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,7,Macroalgae,NA,12
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,7,Seagrass,NA,13
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,8,Other invertebrates,NA,11
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,8,Soft coral,NA,10
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,8,Seagrass,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,8,Stylocoeniella,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,8,Stereonephthya,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,9,Turf algae,NA,4
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,9,Dead coral,NA,5
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,9,Acropora,NA,8
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,9,Diploastrea,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,9,Stylocoeniella,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,9,Trachyphyllia,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,9,Tubastraea,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,9,Turbinaria-coral,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,10,Turf algae,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,10,Echinophyllia,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,10,Echinopora,NA,5
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,10,Lobophyllia,NA,6
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,10,Montipora,NA,6
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,10,Porites,Massive,4
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,11,Turf algae,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,11,Rubble,NA,5
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,11,Soft coral,NA,13
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,11,Acropora,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,11,Porites,Branching,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,11,Psammocora,NA,3
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,12,Macroalgae,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,12,Porites,Branching,23
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,12,Psammocora,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,13,Macroalgae,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,13,Turf algae,NA,8
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,13,Soft coral,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,13,Sand,NA,6
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,13,Sponge,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,13,Porites,Branching,6
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,13,Porites,Massive,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,14,Crustose coralline algae,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,14,Macroalgae,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,14,Anemone,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,14,Soft coral,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,14,Tape,NA,3
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,14,Galaxea,NA,4
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,14,Lobophyllia,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,14,Porites,Massive,13
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,15,Crustose coralline algae,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,15,Macroalgae,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,15,Turf algae,NA,3
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,15,Corallimorpharia,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,15,Other invertebrates,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,15,Rubble,NA,6
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,15,Silt,NA,3
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,15,Acropora,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,15,Echinophyllia,NA,3
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,15,Echinopora,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,15,Fungia,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,15,Merulina,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,16,Macroalgae,NA,6
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,16,Turf algae,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,16,Rubble,NA,5
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,16,Seagrass,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,16,Sand,NA,11
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,17,Macroalgae,NA,3
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,17,Lobophytum,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,17,Other invertebrates,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,17,Seagrass,NA,8
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,17,Sand,NA,5
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,17,Madracis,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,17,Merulina,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,17,Micromussa,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,17,Millepora,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,17,Montastraea,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,17,Montipora,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,17,Mycedium,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,18,Halimeda,NA,5
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,18,Macroalgae,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,18,Turf algae,NA,9
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,18,Seagrass,NA,7
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,18,Sand,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,18,Porites,Branching,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,19,Crustose coralline algae,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,19,Macroalgae,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,19,Turf algae,NA,4
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,19,Lobophytum,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,19,Other invertebrates,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,19,Sand,NA,8
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,19,Fungia,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,19,Madracis,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,19,Merulina,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,19,Micromussa,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,19,Millepora,NA,1
