Raw Data;Notes;Major Category;Frame limits
ACB;;Acropora;*
ACB;;Acropora;
ACB;;Acropora;
CM;;Hard coral;
CM;;Hard coral;
CM;;Hard coral;
ACD;;Acropora;
CM;;Hard coral;
CF;;Hard coral;
CF;;Hard coral;**
S;;Substrate;*
S;;Substrate;
ACB;;Acropora;
ACB;;Acropora;
HC;;Hard coral;
HC;;Hard coral;
SC;;Soft coral;
SC;;Soft coral;
SC;;Soft coral;
ACB;;Acropora;**
RB;;Rubble;*
RB;;Rubble;
RB;;Rubble;
CCA;;CCA;
CCA;;CCA;
ACB;;Acropora;
ACB;;Acropora;
ACB;;Acropora;
CM;;Hard coral;
CM;;Hard coral;**
;;;
