Benthic_abb;Benthic category;Benthic attribute_MERMAID;Growth form_MERMAID
DC;Dead coral;Dead coral;
S;Sand;Sand;
CCA;Crustose coralline algae;Crustose coralline algae;
CB;Coral branching;Hard coral;Branching
ACB;Acropora branching;Acropora;Branching
CE;Coral encrusting;Hard coral;Encrusting
CF;Coral foliose;Hard coral;Foliose
RB;Rubble;Rubble;
MA;Macroalgae;Macroalgae;
CM;Coral massive;Hard coral;Massive
ACD;Acropora digitate;Acropora;Digitate
HC;Hard coral;Hard coral;
SC;Soft coral;Soft coral;
TA;Turf algae;Turf algae;
CSM;Coral submassive;Hard coral;Submassive
CMS;Coral mushroom;Hard coral;Mushroom coral
CME;Coral Millepora;Millepora;
SP;Sponge;Sponge;
OT;Other;Other invertebrates;
RCK;Rock;Rock;
CHL;Coral heliopora;Heliopora;
TF;Turf algae;Turf algae;
TWB;Tape, Water, Block;Other;
