Raw Data;Notes;Major Category;Frame limits
TA;;Macroalgae;*
TA;;Macroalgae;
CSM;;Hard coral;
CMS;;Hard coral;
CME;;Hard coral;
CME;;Hard coral;
SP;;Sponge;
SP;;Sponge;
OT;;Other;
OT;;Other;**
RB;;Rubble;*
RB;;Rubble;
CM;;Hard coral;
CM;;Hard coral;
RCK;;Substrate;
RCK;;Substrate;
RCK;;Substrate;
CCA;;CCA;
CCA;;CCA;
ACB;;Acropora;**
S;;Substrate;*
S;;Substrate;
S;;Substrate;
OT;;Other;
OT;;Other;
ACD;;Acropora;
CM;;Hard coral;
CM;;Hard coral;
CHL;;Hard coral;
TF;;Macroalgae;**
;;;
